taxonid,family,genus,species,category
17026,OTARIIDAE,Phocarctos,hookeri,EN
22103,TRICHECHIDAE,Trichechus,manatus,VU
10303,DUGONGIDAE,Hydrodamalis,gigas,EX
22102,TRICHECHIDAE,Trichechus,inunguis,VU
4162,DELPHINIDAE,Cephalorhynchus,hectori,EN
9561,MUSTELIDAE,Gulo,gulo,LC
12848,MUSTELIDAE,Martes,martes,LC
13110,MUSTELIDAE,Melogale,everetti,EN
14018,MUSTELIDAE,Mustela,lutreola,CR
14019,MUSTELIDAE,Mustela,lutreolina,LC
14020,MUSTELIDAE,Mustela,nigripes,EN
14025,MUSTELIDAE,Mustela,africana,LC
14026,MUSTELIDAE,Mustela,felipei,VU
14027,MUSTELIDAE,Mustela,strigidorsa,LC
29672,MUSTELIDAE,Martes,foina,LC
29673,MUSTELIDAE,Meles,meles,LC
29674,MUSTELIDAE,Mustela,erminea,LC
29679,MUSTELIDAE,Mustela,eversmanii,LC
29680,MUSTELIDAE,Vormela,peregusna,VU
40784,MUSTELIDAE,Neovison,macrodon,EX
41626,MUSTELIDAE,Melogale,moschata,LC
41627,MUSTELIDAE,Melogale,personata,LC
41629,MUSTELIDAE,Mellivora,capensis,LC
41639,MUSTELIDAE,Galictis,cuja,LC
41640,MUSTELIDAE,Galictis,vittata,LC
41644,MUSTELIDAE,Eira,barbara,LC
41645,MUSTELIDAE,Ictonyx,libycus,LC
41646,MUSTELIDAE,Ictonyx,striatus,LC
41647,MUSTELIDAE,Lyncodon,patagonicus,LC
41648,MUSTELIDAE,Martes,americana,LC
41649,MUSTELIDAE,Martes,flavigula,LC
41650,MUSTELIDAE,Martes,melampus,LC
41652,MUSTELIDAE,Martes,zibellina,LC
41653,MUSTELIDAE,Mustela,altaica,NT
41654,MUSTELIDAE,Mustela,frenata,LC
41655,MUSTELIDAE,Mustela,kathiah,LC
41656,MUSTELIDAE,Mustela,itatsi,NT
41657,MUSTELIDAE,Mustela,nudipes,LC
41658,MUSTELIDAE,Mustela,putorius,LC
41659,MUSTELIDAE,Mustela,sibirica,LC
41661,MUSTELIDAE,Neovison,vison,LC
41662,MUSTELIDAE,Poecilogale,albinucha,LC
41663,MUSTELIDAE,Taxidea,taxus,LC
41697,MUSTELIDAE,Melogale,orientalis,LC
136242,MUSTELIDAE,Meles,anakuma,LC
136385,MUSTELIDAE,Meles,leucurus,LC
2055,OTARIIDAE,Arctocephalus,australis,LC
2057,OTARIIDAE,Arctocephalus,galapagoensis,EN
2060,OTARIIDAE,Arctocephalus,pusillus,LC
2061,OTARIIDAE,Arctocephalus,townsendi,LC
2062,OTARIIDAE,Arctocephalus,tropicalis,LC
3590,OTARIIDAE,Callorhinus,ursinus,VU
6204,PHOCIDAE,Cystophora,cristata,VU
8010,PHOCIDAE,Erignathus,barbatus,LC
8239,OTARIIDAE,Eumetopias,jubatus,NT
9660,PHOCIDAE,Halichoerus,grypus,LC
10340,PHOCIDAE,Hydrurga,leptonyx,LC
11696,PHOCIDAE,Leptonychotes,weddellii,LC
12246,PHOCIDAE,Lobodon,carcinophaga,LC
13581,PHOCIDAE,Mirounga,angustirostris,LC
13583,PHOCIDAE,Mirounga,leonina,LC
13654,PHOCIDAE,Neomonachus,schauinslandi,EN
13655,PHOCIDAE,Neomonachus,tropicalis,EX
14549,OTARIIDAE,Neophoca,cinerea,EN
15106,ODOBENIDAE,Odobenus,rosmarus,VU
15269,PHOCIDAE,Ommatophoca,rossii,LC
17013,PHOCIDAE,Phoca,vitulina,LC
17023,PHOCIDAE,Phoca,largha,LC
41664,OTARIIDAE,Arctocephalus,forsteri,LC
41666,OTARIIDAE,Zalophus,californianus,LC
41668,OTARIIDAE,Zalophus,wollebaeki,EN
41669,PHOCIDAE,Pusa,caspica,EN
41670,PHOCIDAE,Histriophoca,fasciata,LC
41671,PHOCIDAE,Pagophilus,groenlandicus,LC
41672,PHOCIDAE,Pusa,hispida,LC
41676,PHOCIDAE,Pusa,sibirica,LC
2467,BALAENIDAE,Balaena,mysticetus,LC
2474,BALAENOPTERIDAE,Balaenoptera,acutorostrata,LC
2476,BALAENOPTERIDAE,Balaenoptera,edeni,LC
2478,BALAENOPTERIDAE,Balaenoptera,physalus,VU
2480,BALAENOPTERIDAE,Balaenoptera,bonaerensis,NT
2763,ZIPHIIDAE,Berardius,bairdii,LC
3778,NEOBALAENIDAE,Caperea,marginata,LC
4160,DELPHINIDAE,Cephalorhynchus,eutropia,NT
4161,DELPHINIDAE,Cephalorhynchus,heavisidii,NT
6335,MONODONTIDAE,Delphinapterus,leucas,LC
8097,ESCHRICHTIIDAE,Eschrichtius,robustus,LC
8153,BALAENIDAE,Eubalaena,australis,LC
8551,DELPHINIDAE,Feresa,attenuata,LC
9249,DELPHINIDAE,Globicephala,macrorhynchus,LC
9250,DELPHINIDAE,Globicephala,melas,LC
9461,DELPHINIDAE,Grampus,griseus,LC
10707,ZIPHIIDAE,Hyperoodon,ampullatus,NT
10708,ZIPHIIDAE,Hyperoodon,planifrons,LC
10831,INIIDAE,Inia,geoffrensis,EN
11140,DELPHINIDAE,Lagenodelphis,hosei,LC
11141,DELPHINIDAE,Lagenorhynchus,acutus,LC
11142,DELPHINIDAE,Lagenorhynchus,albirostris,LC
11143,DELPHINIDAE,Lagenorhynchus,australis,LC
11144,DELPHINIDAE,Lagenorhynchus,cruciger,LC
11145,DELPHINIDAE,Lagenorhynchus,obliquidens,LC
12125,DELPHINIDAE,Lissodelphis,borealis,LC
12126,DELPHINIDAE,Lissodelphis,peronii,LC
13006,BALAENOPTERIDAE,Megaptera,novaeangliae,LC
13241,ZIPHIIDAE,Mesoplodon,bidens,LC
13242,ZIPHIIDAE,Mesoplodon,bowdoini,DD
13243,ZIPHIIDAE,Mesoplodon,carlhubbsi,DD
13244,ZIPHIIDAE,Mesoplodon,densirostris,LC
13245,ZIPHIIDAE,Mesoplodon,europaeus,LC
13247,ZIPHIIDAE,Mesoplodon,grayi,LC
13248,ZIPHIIDAE,Mesoplodon,hectori,DD
13249,ZIPHIIDAE,Mesoplodon,layardii,LC
13250,ZIPHIIDAE,Mesoplodon,mirus,LC
13251,ZIPHIIDAE,Mesoplodon,peruvianus,LC
13252,ZIPHIIDAE,Mesoplodon,stejnegeri,NT
13704,MONODONTIDAE,Monodon,monoceros,LC
15421,DELPHINIDAE,Orcinus,orca,DD
16564,DELPHINIDAE,Peponocephala,electra,LC
17027,PHOCOENIDAE,Phocoena,phocoena,LC
17029,PHOCOENIDAE,Phocoena,spinipinnis,NT
17032,PHOCOENIDAE,Phocoenoides,dalli,LC
20729,DELPHINIDAE,Stenella,attenuata,LC
20730,DELPHINIDAE,Stenella,clymene,LC
20731,DELPHINIDAE,Stenella,coeruleoalba,LC
20732,DELPHINIDAE,Stenella,frontalis,LC
21500,ZIPHIIDAE,Tasmacetus,shepherdi,DD
23211,ZIPHIIDAE,Ziphius,cavirostris,LC
40635,ZIPHIIDAE,Indopacetus,pacificus,LC
41711,BALAENIDAE,Eubalaena,japonica,EN
41714,DELPHINIDAE,Tursiops,aduncus,NT
41715,PHOCOENIDAE,Phocoena,dioptrica,LC
41754,PHOCOENIDAE,Neophocaena,asiaeorientalis,EN
41759,ZIPHIIDAE,Mesoplodon,perrini,EN
41760,ZIPHIIDAE,Mesoplodon,traversii,DD
190871,DELPHINIDAE,Sotalia,fluviatilis,EN
198920,PHOCOENIDAE,Neophocaena,phocaenoides,VU
41665,OTARIIDAE,Otaria,byronia,LC
2059,OTARIIDAE,Arctocephalus,philippii,LC
41660,MUSTELIDAE,Mustela,subpalmata,LC
2058,OTARIIDAE,Arctocephalus,gazella,LC
68369199,MUSTELIDAE,Melogale,cucphuongensis,DD
70205771,MUSTELIDAE,Arctonyx,hoevenii,LC
70206273,MUSTELIDAE,Arctonyx,albogularis,LC
70207817,MUSTELIDAE,Mustela,russelliana,DD
70207949,MUSTELIDAE,Mustela,tonkinensis,DD
82031633,DELPHINIDAE,Sousa,plumbea,EN
82031667,DELPHINIDAE,Sousa,sahulensis,VU
12847,MUSTELIDAE,Martes,gwatkinsii,VU
12303,MUSTELIDAE,Lontra,felina,EN
12305,MUSTELIDAE,Lontra,provocax,EN
22104,TRICHECHIDAE,Trichechus,senegalensis,VU
41667,OTARIIDAE,Zalophus,japonicus,EX
13653,PHOCIDAE,Monachus,monachus,EN
15419,DELPHINIDAE,Orcaella,brevirostris,EN
20425,DELPHINIDAE,Sousa,teuszii,CR
136315,DELPHINIDAE,Orcaella,heinsohni,VU
82031425,DELPHINIDAE,Sousa,chinensis,VU
41651,MUSTELIDAE,Martes,pennanti,LC
4159,DELPHINIDAE,Cephalorhynchus,commersonii,LC
2475,BALAENOPTERIDAE,Balaenoptera,borealis,EN
181359,DELPHINIDAE,Sotalia,guianensis,NT
136623,BALAENOPTERIDAE,Balaenoptera,omurai,DD
18596,DELPHINIDAE,Pseudorca,crassidens,NT
70207409,MUSTELIDAE,Mustela,nivalis,LC
2477,BALAENOPTERIDAE,Balaenoptera,musculus,EN
20733,DELPHINIDAE,Stenella,longirostris,LC
22563,DELPHINIDAE,Tursiops,truncatus,LC
6909,DUGONGIDAE,Dugong,dugon,VU
41755,PHYSETERIDAE,Physeter,macrocephalus,VU
1793,MUSTELIDAE,Aonyx,capensis,NT
1794,MUSTELIDAE,Aonyx,congicus,NT
7750,MUSTELIDAE,Enhydra,lutris,EN
12302,MUSTELIDAE,Lontra,canadensis,LC
12304,MUSTELIDAE,Lontra,longicaudis,NT
12419,MUSTELIDAE,Lutra,lutra,NT
12420,MUSTELIDAE,Hydrictis,maculicollis,NT
12421,MUSTELIDAE,Lutra,sumatrana,EN
12427,MUSTELIDAE,Lutrogale,perspicillata,VU
18711,MUSTELIDAE,Pteronura,brasiliensis,EN
44166,MUSTELIDAE,Aonyx,cinereus,VU
11146,DELPHINIDAE,Lagenorhynchus,obscurus,LC
41712,BALAENIDAE,Eubalaena,glacialis,CR
178756893,ZIPHIIDAE,Berardius,minimus,NT
20738,DELPHINIDAE,Steno,bredanensis,LC
127826787,ZIPHIIDAE,Mesoplodon,hotaula,DD
2762,ZIPHIIDAE,Berardius,arnuxii,LC
17028,PHOCOENIDAE,Phocoena,sinus,CR
